Ranking_Difference,Attempts_on_Target,Corner_Kicks,Crosses,Ball_Possession_Percent,Completed_Passes,Completed_Line_Breaks,Defensive_Pressures,Forced_Turnovers,Second_Balls,Saves,Save_Percentage,Distance_Covered_km,Zone4_Low_Speed_Sprinting
46.0,4.0,3.0,13.0,57.1,495.0,105.0,170.0,31.0,56.0,2.0,100.0,107.3,5.3
-46.0,2.0,1.0,8.0,36.1,290.0,57.0,306.0,32.0,45.0,2.0,50.0,97.1,5.1
15.0,6.0,4.0,17.0,55.8,459.0,92.0,147.0,30.0,49.0,3.0,75.0,111.8,5.4
-15.0,4.0,5.0,15.0,34.2,330.0,54.0,301.0,40.0,78.0,4.0,66.66666666666666,117.6,5.4
34.0,4.0,9.0,30.0,52.8,316.0,84.0,160.0,50.0,94.0,2.0,66.66666666666666,111.3,5.8
-34.0,3.0,4.0,8.0,29.9,186.0,61.0,203.0,51.0,79.0,3.0,75.0,109.5,5.2
24.0,6.0,3.0,23.0,59.5,520.0,129.0,204.0,50.0,101.0,0.0,0.0,119.9,6.2
-24.0,1.0,1.0,5.0,28.7,234.0,53.0,360.0,49.0,55.0,2.0,33.33333333333333,114.3,6.1
-41.0,2.0,4.0,26.0,51.6,378.0,84.0,185.0,29.0,53.0,1.0,50.0,113.7,5.9
41.0,2.0,3.0,16.0,40.5,324.0,86.0,230.0,35.0,52.0,2.0,100.0,117.6,5.9
-5.0,4.0,5.0,14.0,27.0,358.0,56.0,384.0,35.0,62.0,7.0,100.0,116.6,5.6
5.0,7.0,8.0,28.0,62.9,543.0,132.0,170.0,30.0,87.0,2.0,50.0,112.5,5.1
1.0,5.0,6.0,19.0,46.7,398.0,89.0,315.0,41.0,56.0,2.0,66.66666666666666,113.7,6.8
-1.0,3.0,2.0,14.0,45.2,495.0,81.0,285.0,50.0,79.0,4.0,80.0,114.9,6.5
-37.0,3.0,3.0,8.0,28.8,213.0,58.0,294.0,36.0,53.0,6.0,85.71428571428571,109.2,4.8
37.0,7.0,10.0,34.0,58.7,542.0,122.0,165.0,42.0,70.0,2.0,66.66666666666666,109.4,5.6
-10.0,4.0,3.0,15.0,41.9,413.0,113.0,288.0,44.0,63.0,1.0,100.0,109.6,5.8
10.0,1.0,5.0,14.0,49.9,438.0,106.0,280.0,49.0,60.0,3.0,75.0,108.4,5.7
73.0,12.0,8.0,20.0,57.8,569.0,125.0,227.0,46.0,82.0,1.0,50.0,116.2,6.3
-73.0,2.0,1.0,5.0,35.3,291.0,72.0,339.0,43.0,58.0,5.0,41.66666666666667,103.5,5.0
10.0,6.0,5.0,23.0,54.9,473.0,88.0,194.0,33.0,49.0,0.0,0.0,102.9,4.6
-10.0,2.0,4.0,24.0,37.4,302.0,72.0,316.0,28.0,50.0,4.0,66.66666666666666,109.4,5.1
7.0,7.0,4.0,12.0,47.4,489.0,71.0,172.0,42.0,69.0,1.0,50.0,111.3,5.1
-7.0,2.0,2.0,13.0,42.7,285.0,75.0,223.0,41.0,67.0,2.0,28.57142857142857,109.7,5.9
-45.0,3.0,4.0,6.0,27.1,355.0,54.0,318.0,44.0,58.0,9.0,90.0,109.5,4.7
45.0,10.0,14.0,42.0,63.3,719.0,128.0,157.0,39.0,67.0,2.0,66.66666666666666,110.9,5.2
65.0,7.0,11.0,39.0,65.7,839.0,144.0,200.0,53.0,83.0,1.0,100.0,115.5,5.0
-65.0,1.0,1.0,3.0,25.4,272.0,306.0,398.0,47.0,54.0,7.0,100.0,112.4,4.2
65.0,4.0,4.0,18.0,43.3,333.0,75.0,253.0,46.0,83.0,6.0,75.0,113.0,6.1
-65.0,8.0,1.0,11.0,45.3,378.0,89.0,234.0,47.0,67.0,2.0,50.0,112.9,6.6
20.0,4.0,2.0,15.0,45.5,415.0,106.0,227.0,41.0,70.0,2.0,66.66666666666666,113.3,6.3
-20.0,3.0,7.0,17.0,38.1,339.0,78.0,258.0,52.0,66.0,3.0,75.0,111.3,6.2
12.0,8.0,6.0,9.0,49.4,516.0,118.0,277.0,54.0,67.0,1.0,50.0,120.2,7.0
-12.0,2.0,4.0,11.0,44.5,453.0,101.0,308.0,39.0,64.0,5.0,62.5,116.7,6.2
-26.0,2.0,1.0,19.0,34.7,286.0,70.0,288.0,42.0,52.0,1.0,20.0,111.7,5.6
26.0,5.0,4.0,17.0,57.2,493.0,116.0,173.0,31.0,52.0,1.0,50.0,116.3,5.3
27.0,6.0,2.0,5.0,44.6,517.0,102.0,288.0,46.0,50.0,1.0,100.0,108.4,4.4
-27.0,1.0,2.0,8.0,50.8,578.0,115.0,332.0,40.0,59.0,3.0,50.0,109.3,5.2
39.0,4.0,4.0,17.0,53.3,499.0,112.0,206.0,54.0,83.0,3.0,75.0,120.4,6.7
-39.0,4.0,3.0,15.0,33.0,254.0,63.0,322.0,55.0,85.0,1.0,25.0,119.2,6.7
-39.0,2.0,2.0,17.0,35.6,304.0,70.0,294.0,49.0,70.0,4.0,100.0,119.0,6.2
39.0,4.0,2.0,21.0,55.5,526.0,105.0,201.0,48.0,75.0,1.0,50.0,117.3,5.7
7.0,11.0,8.0,15.0,49.0,421.0,82.0,262.0,36.0,63.0,3.0,60.0,117.0,6.6
-7.0,5.0,2.0,12.0,43.5,399.0,85.0,295.0,35.0,48.0,7.0,63.63636363636363,113.7,6.4
41.0,1.0,5.0,23.0,68.9,740.0,146.0,183.0,29.0,70.0,1.0,50.0,109.8,5.7
-41.0,2.0,4.0,10.0,25.3,214.0,60.0,407.0,42.0,46.0,0.0,0.0,112.4,6.0
-37.0,2.0,3.0,11.0,33.9,303.0,70.0,264.0,32.0,40.0,1.0,25.0,112.0,4.5
37.0,4.0,4.0,18.0,56.7,548.0,72.0,160.0,31.0,60.0,1.0,50.0,108.7,4.7
20.0,3.0,5.0,15.0,32.4,279.0,87.0,343.0,41.0,64.0,3.0,75.0,119.6,6.6
-20.0,4.0,5.0,16.0,60.3,518.0,114.0,233.0,44.0,66.0,2.0,66.66666666666666,112.0,5.9
45.0,7.0,7.0,24.0,57.8,531.0,115.0,234.0,46.0,70.0,2.0,66.66666666666666,114.9,5.8
-45.0,3.0,3.0,14.0,34.1,289.0,69.0,339.0,42.0,62.0,3.0,42.85714285714285,113.1,5.6
26.0,11.0,19.0,61.0,65.8,625.0,131.0,107.0,31.0,89.0,0.0,0.0,111.2,5.7
-26.0,0.0,1.0,2.0,20.5,338.0,23.0,274.0,23.0,34.0,5.0,45.45454545454545,90.8,3.7
11.0,4.0,0.0,5.0,40.8,360.0,76.0,265.0,46.0,69.0,2.0,100.0,116.5,5.3
-11.0,2.0,2.0,8.0,51.8,466.0,75.0,217.0,48.0,62.0,3.0,75.0,112.1,5.3
77.0,4.0,4.0,11.0,49.0,484.0,105.0,195.0,39.0,50.0,3.0,100.0,113.6,5.9
-77.0,3.0,4.0,13.0,43.2,338.0,84.0,294.0,34.0,63.0,1.0,25.0,112.8,6.1
